line_name,alias,pedigree,aliases,row_type,end_use
00ID1550,00ID1550,COLTER*2/PMUT-422H,00ID1550,2,FEED
00NZ772,00NZ772,CA803208/(DB121/(ANT499/BANCROFT)),00NZ772,2,MALT
01AB10055,01AB10055,86AB2617/B4947,01AB10055,2,MALT
01AB10062,01AB10062,86AB2617/B4947,01AB10062,2,MALT
01AB11073,01AB11073,,01AB11073,,
01AB11107,01AB11107,94AB12981/91AB3148,01AB11107,2,FEED
01AB7163,01AB7163,85AB2323/FR96503,01AB7163,2,MALT
01AB7833,01AB7833,,01AB7833,,
01AB7841,01AB7841,,01AB7841,,
01AB9663,01AB9663,93AB375/(92AB5189/M83),01AB9663,,MALT
01ID1550,01ID1550,,01ID1550,,
01ID435H,01ID435H,(WPB-BZ-594-35*2/PMUT882)/HB317,01ID435H,2,FEED
01ID451H,01ID451H,(WPB-BZ-594-35*2/PMUT882)/HB317,01ID451H,2,FEED
01NZ392,01NZ392,(16230-95/12697-94)/BA6B-95-8253,01NZ392,6,MALT
01NZ706,01NZ706,(12697-94/9130-87)/BA6B-95-8253,01NZ706,6,MALT
01ST1587,01ST1587,WPB-BZ-594-35*4/STARS9301B,01ST1587,2,FEED
01ST1758,01ST1758,WPB-BZ-594-35*4/STARS9577B,01ST1758,2,FEED
02AB17271,02AB17271,85AB2323/B4947,02AB17271,,MALT
02WNZ-1015,02WNZ-1015,CAMAS/WPB-BZ-594-35,02WNZ-1015,2,FEED
02WNZ-1095,02WNZ-1095,CAMAS/WPB-BZ-594-35,02WNZ-1095,2,FEED
02WNZ-1100,02WNZ-1100,CAMAS/WPB-BZ-594-35,02WNZ-1100,2,FEED
02WNZ-1821,02WNZ-1821,WA7478-97/WPB-BZ-594-35,02WNZ-1821,2,FEED
04AB023-11,04AB023-11,,04AB023-11,,
04AB034-62,04AB034-62,,04AB034-62,,
04AB041-79,04AB041-79,,04AB041-79,,
04AB060-66,04AB060-66,,04AB060-66,,
04WNZ-124,04WNZ-124,CV-302/WPB-BZ-594-35,04WNZ-124,,FEED
04WNZ-286,04WNZ-286,85AB2323/WPB-BZ-594-35,04WNZ-286,,FEED
08ARS028-20,08ARS028-20,,08ARS028-20,,
08ARS112-75,08ARS112-75,(LENETAH/NEWDALE)/06BA-48,08ARS112-75,2,
08ARS116-91,08ARS116-91,(AMSTERDAM/TETONIA)/ABIVOYAGER,08ARS116-91,2,
08ID1549,08ID1549,,08ID1549,,
08ID2661,08ID2661,04LPA-10/TETONIA,08ID2661,2,FEED
10ARS191-3,10ARS191-3,,10ARS191-3,,
11ARS162-4,11ARS162-4,,11ARS162-4,,
2004NZ151,2004NZ151,00NZ304/CELLAR,2004NZ151,,FEED
2004NZ163,2004NZ163,00NZ304/85AB2323,2004NZ163,,FEED
2008NZ003,2008NZ003,,2008NZ003,,
2008NZ004,2008NZ004,,2008NZ004,,
2008NZ013,2008NZ013,,2008NZ013,,
2AB04-X00017-4,2AB04-X00017-4,97AB6361/95AB11469,2AB04-X00017-4,,FEED
2AB04-X01084-27,2AB04-X01084-27,98AB11993/PI605472,2AB04-X01084-27,2,MALT
2AB07-X031098-31,2AB07-X031098-31,2B97-4004/NEWDALE,2AB07-X031098-31,2,MALT
2AB07-X04M219-46,2AB07-X04M219-46,95SR316A/2B97-4004,2AB07-X04M219-46,2,MALT
2AB07-X04M281-32,2AB07-X04M281-32,,2AB07-X04M281-32,,
2AB08-X04M278-35,2AB08-X04M278-35,2B97-4004/97AB6643,2AB08-X04M278-35,2,MALT
