trial,location,state,year,environment,nursery,management,report,planting_date,harvest_date,meters_harvested,cm_bet_rows,lat,long
MVN_1995_Brandon_Rainfed,Brandon,MB,1995,BRN95R,mvn,rainfed,,,,,,49.8511143,-99.9608924
MVN_1995_Crookston_Rainfed,Crookston,MN,1995,CRK95R,mvn,rainfed,,,,,,47.7739988,-96.6081167
MVN_1995_Fargo_Rainfed,Fargo,ND,1995,FRG95R,mvn,rainfed,,,,,,46.877229,-96.789821
MVN_1995_Langdon_Rainfed,Langdon,ND,1995,LNG95R,mvn,rainfed,,,,,,48.7605902,-98.3678245
MVN_1996_Aberdeen_Rainfed,Aberdeen,ID,1996,ABR96R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_1996_Carrington_Rainfed,Carrington,ND,1996,CRR96R,mvn,rainfed,,,,,,47.44972,-99.126224
MVN_1996_Crookston_Rainfed,Crookston,MN,1996,CRK96R,mvn,rainfed,,,,,,47.7739988,-96.6081167
MVN_1996_Moorhead_Rainfed,Moorhead,MN,1996,MRH96R,mvn,rainfed,,,,,,46.8739081,-96.7538674
MVN_1996_Moscow_Rainfed,Moscow,ID,1996,MSC96R,mvn,rainfed,,,,,,46.7323875,-117.0001651
MVN_1997_Aberdeen_Rainfed,Aberdeen,ID,1997,ABR97R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_1997_Bottineau_Rainfed,Bottineau,ND,1997,BTT97R,mvn,rainfed,,,,,,48.82723,-100.445698
MVN_1997_Crookston_Rainfed,Crookston,MN,1997,CRK97R,mvn,rainfed,,,,,,47.7739988,-96.6081167
MVN_1997_Fargo_Rainfed,Fargo,ND,1997,FRG97R,mvn,rainfed,,,,,,46.877229,-96.789821
MVN_1998_Carrington_Rainfed,Carrington,ND,1998,CRR98R,mvn,rainfed,,,,,,47.44972,-99.126224
MVN_1998_Moorhead_Rainfed,Moorhead,MN,1998,MRH98R,mvn,rainfed,,,,,,46.8739081,-96.7538674
MVN_1998_Morris_Rainfed,Morris,MN,1998,MRR98R,mvn,rainfed,,,,,,45.586072,-95.913941
MVN_1999_Aberdeen_Rainfed,Aberdeen,ID,1999,ABR99R,mvn,rainfed,,,,,,42.9440784,-112.8383265
MVN_1999_Brandon_Rainfed,Brandon,MB,1999,BRN99R,mvn,rainfed,MVN_1999,1999-06-05,1999-09-10,,,49.8511143,-99.9608924
MVN_1999_Carrington_Rainfed,Carrington,ND,1999,CRR99R,mvn,rainfed,MVN_1999,1999-04-28,1999-08-05,3,30,47.44972,-99.126224
MVN_1999_Crookston_Rainfed,Crookston,MN,1999,CRK99R,mvn,rainfed,MVN_1999,,,2.8,19,47.7739988,-96.6081167
MVN_1999_Madison_Rainfed,Madison,WI,1999,MDS99R,mvn,rainfed,MVN_1999,1999-04-19,1999-07-29,4.9,30,43.074761,-89.3837613
MVN_1999_Morris_Rainfed,Morris,MN,1999,MRR99R,mvn,rainfed,MVN_1999,,,,18,45.586072,-95.913941
MVN_1999_Osnabrock_Rainfed,Osnabrock,ND,1999,OSN99R,mvn,rainfed,MVN_1999,1999-04-29,1999-08-11,3,30,48.6688857,-98.151218600000007
MVN_1999_ParkRiver_Rainfed,ParkRiver,ND,1999,PRR99R,mvn,rainfed,MVN_1999,1999-05-01,1999-08-11,2.9,20,48.3986043,-97.7411999
MVN_2000_Bottineau_Rainfed,Bottineau,ND,2000,BTT00R,mvn,rainfed,MVN_2000,,,3.3499999999999996,18,48.82723,-100.445698
MVN_2000_Brandon_Rainfed,Brandon,MB,2000,BRN00R,mvn,rainfed,MVN_2000,2000-05-05,2000-09-07,5,23.5,49.8511143,-99.9608924
MVN_2000_Carrington_Rainfed,Carrington,ND,2000,CRR00R,mvn,rainfed,MVN_2000,2000-05-01,2000-08-03,3,30.5,47.44972,-99.126224
MVN_2000_Crookston_Rainfed,Crookston,MN,2000,CRK00R,mvn,rainfed,MVN_2000,2000-04-25,2000-08-01,2.4,19,47.7739988,-96.6081167
MVN_2000_Fargo_Rainfed,Fargo,ND,2000,FRG00R,mvn,rainfed,MVN_2000,2000-04-28,2000-08-01,3,30.5,46.877229,-96.789821
MVN_2000_Madison_Rainfed,Madison,WI,2000,MDS00R,mvn,rainfed,MVN_2000,2000-04-14,2000-07-25,4.9,30.5,43.074761,-89.3837613
MVN_2000_Minot_Rainfed,Minot,ND,2000,MNT00R,mvn,rainfed,,,,,,48.23251,-101.296273
MVN_2000_Morris_Rainfed,Morris,MN,2000,MRR00R,mvn,rainfed,MVN_2000,2000-04-21,2000-08-02,1.4,18,45.586072,-95.913941
