trial,replications,lsd,trait
MVN_1995_Brandon_Rainfed,1,,KernelWeight
MVN_1995_Brandon_Rainfed,1,,PlumpGrain
MVN_1995_Brandon_Rainfed,1,,BarleyColor
MVN_1995_Brandon_Rainfed,1,,MaltExtract
MVN_1995_Brandon_Rainfed,1,,SolubleProteinTotalProtein
MVN_1995_Brandon_Rainfed,1,,DiastaticPower
MVN_1995_Brandon_Rainfed,1,,WortColor
MVN_1995_Brandon_Rainfed,1,,WortClarity
MVN_1995_Brandon_Rainfed,1,,GrainProtein
MVN_1995_Brandon_Rainfed,1,,WortProtein
MVN_1995_Brandon_Rainfed,1,,BetaGlucan
MVN_1995_Crookston_Rainfed,1,,KernelWeight
MVN_1995_Crookston_Rainfed,1,,PlumpGrain
MVN_1995_Crookston_Rainfed,1,,BarleyColor
MVN_1995_Crookston_Rainfed,1,,MaltExtract
MVN_1995_Crookston_Rainfed,1,,SolubleProteinTotalProtein
MVN_1995_Crookston_Rainfed,1,,DiastaticPower
MVN_1995_Crookston_Rainfed,1,,WortColor
MVN_1995_Crookston_Rainfed,1,,WortClarity
MVN_1995_Crookston_Rainfed,1,,GrainProtein
MVN_1995_Crookston_Rainfed,1,,WortProtein
MVN_1995_Crookston_Rainfed,1,,BetaGlucan
MVN_1995_Fargo_Rainfed,1,,KernelWeight
MVN_1995_Fargo_Rainfed,1,,PlumpGrain
MVN_1995_Fargo_Rainfed,1,,BarleyColor
MVN_1995_Fargo_Rainfed,1,,MaltExtract
MVN_1995_Fargo_Rainfed,1,,SolubleProteinTotalProtein
MVN_1995_Fargo_Rainfed,1,,DiastaticPower
MVN_1995_Fargo_Rainfed,1,,WortColor
MVN_1995_Fargo_Rainfed,1,,WortClarity
MVN_1995_Fargo_Rainfed,1,,GrainProtein
MVN_1995_Fargo_Rainfed,1,,WortProtein
MVN_1995_Fargo_Rainfed,1,,BetaGlucan
MVN_1995_Langdon_Rainfed,1,,KernelWeight
MVN_1995_Langdon_Rainfed,1,,PlumpGrain
MVN_1995_Langdon_Rainfed,1,,BarleyColor
MVN_1995_Langdon_Rainfed,1,,MaltExtract
MVN_1995_Langdon_Rainfed,1,,SolubleProteinTotalProtein
MVN_1995_Langdon_Rainfed,1,,DiastaticPower
MVN_1995_Langdon_Rainfed,1,,WortColor
MVN_1995_Langdon_Rainfed,1,,WortClarity
MVN_1995_Langdon_Rainfed,1,,GrainProtein
MVN_1995_Langdon_Rainfed,1,,WortProtein
MVN_1995_Langdon_Rainfed,1,,BetaGlucan
MVN_1996_Aberdeen_Rainfed,1,,KernelWeight
MVN_1996_Aberdeen_Rainfed,1,,PlumpGrain
MVN_1996_Aberdeen_Rainfed,1,,BarleyColor
MVN_1996_Aberdeen_Rainfed,1,,MaltExtract
MVN_1996_Aberdeen_Rainfed,1,,SolubleProteinTotalProtein
MVN_1996_Aberdeen_Rainfed,1,,DiastaticPower
MVN_1996_Aberdeen_Rainfed,1,,WortColor
MVN_1996_Aberdeen_Rainfed,1,,WortClarity
MVN_1996_Aberdeen_Rainfed,1,,GrainProtein
MVN_1996_Aberdeen_Rainfed,1,,WortProtein
MVN_1996_Aberdeen_Rainfed,1,,BetaGlucan
MVN_1996_Carrington_Rainfed,1,,KernelWeight
MVN_1996_Carrington_Rainfed,1,,PlumpGrain
MVN_1996_Carrington_Rainfed,1,,BarleyColor
MVN_1996_Carrington_Rainfed,1,,MaltExtract
MVN_1996_Carrington_Rainfed,1,,SolubleProteinTotalProtein
MVN_1996_Carrington_Rainfed,1,,DiastaticPower
MVN_1996_Carrington_Rainfed,1,,WortColor
MVN_1996_Carrington_Rainfed,1,,WortClarity
MVN_1996_Carrington_Rainfed,1,,GrainProtein
MVN_1996_Carrington_Rainfed,1,,WortProtein
MVN_1996_Carrington_Rainfed,1,,BetaGlucan
MVN_1996_Crookston_Rainfed,1,,KernelWeight
MVN_1996_Crookston_Rainfed,1,,PlumpGrain
MVN_1996_Crookston_Rainfed,1,,BarleyColor
MVN_1996_Crookston_Rainfed,1,,MaltExtract
MVN_1996_Crookston_Rainfed,1,,SolubleProteinTotalProtein
MVN_1996_Crookston_Rainfed,1,,DiastaticPower
MVN_1996_Crookston_Rainfed,1,,WortColor
MVN_1996_Crookston_Rainfed,1,,WortClarity
MVN_1996_Crookston_Rainfed,1,,GrainProtein
MVN_1996_Crookston_Rainfed,1,,WortProtein
MVN_1996_Crookston_Rainfed,1,,BetaGlucan
MVN_1996_Moorhead_Rainfed,1,,KernelWeight
MVN_1996_Moorhead_Rainfed,1,,PlumpGrain
MVN_1996_Moorhead_Rainfed,1,,BarleyColor
MVN_1996_Moorhead_Rainfed,1,,MaltExtract
MVN_1996_Moorhead_Rainfed,1,,SolubleProteinTotalProtein
