trait,nObs,nLine,nEnv,nYear,minYear,maxYear
GrainYield,12423,521,395,19,1999,2019
HeadingDate,10313,521,329,19,1999,2019
PlumpGrain,9930,732,318,24,1995,2018
TestWeight,9328,513,298,19,1999,2019
KernelWeight,4235,707,138,24,1995,2018
BarleyColor,4234,707,138,24,1995,2018
BetaGlucan,4234,707,138,24,1995,2018
DiastaticPower,4234,707,138,24,1995,2018
GrainProtein,4234,707,138,24,1995,2018
MaltExtract,4234,707,138,24,1995,2018
SolubleProteinTotalProtein,4234,707,138,24,1995,2018
WortClarity,4234,707,138,24,1995,2018
WortProtein,4234,707,138,24,1995,2018
WortColor,3931,688,138,24,1995,2018
ThinGrains,3874,158,122,7,2001,2007
FreeAminoNitrogen,3118,524,98,17,2002,2018
WortViscosity,2523,422,77,13,2004,2016
Lodging,1413,251,45,16,1999,2019
MaturityDate,368,190,12,11,1999,2019
